No,Provinsi,Tahun,Kabupaten/Kota,Satuan,Fisik,Psikis,Seksual,Eksploitasi,TPPO,Penelantaran,Cluster,Cluster_Label
98,Jawa Timur,2022,KOTA MADIUN,Orang,1,1,1,0,0,3,0,Kerentanan Relatif Rendah
99,Jawa Timur,2022,KOTA SURABAYA,Orang,20,13,10,0,0,6,0,Kerentanan Relatif Rendah
100,Jawa Timur,2022,KOTA BATU,Orang,1,1,2,0,0,2,0,Kerentanan Relatif Rendah
101,Jawa Tengah,2023,KABUPATEN CILACAP,Orang,8,8,11,0,0,0,0,Kerentanan Relatif Rendah
102,Jawa Tengah,2023,KABUPATEN BANYUMAS,Orang,22,19,11,1,5,5,0,Kerentanan Relatif Rendah
103,Jawa Tengah,2023,KABUPATEN PURBALINGGA,Orang,8,1,3,0,0,0,0,Kerentanan Relatif Rendah
104,Jawa Tengah,2023,KABUPATEN BANJARNEGARA,Orang,4,5,1,0,0,0,0,Kerentanan Relatif Rendah
105,Jawa Tengah,2023,KABUPATEN KEBUMEN,Orang,23,8,11,1,0,2,0,Kerentanan Relatif Rendah
106,Jawa Tengah,2023,KABUPATEN PURWOREJO,Orang,9,19,4,0,0,8,0,Kerentanan Relatif Rendah
107,Jawa Tengah,2023,KABUPATEN WONOSOBO,Orang,22,58,9,0,0,21,1,Kerentanan Tinggi
108,Jawa Tengah,2023,KABUPATEN MAGELANG,Orang,22,71,26,0,0,29,1,Kerentanan Tinggi
109,Jawa Tengah,2023,KABUPATEN BOYOLALI,Orang,11,13,4,0,0,2,0,Kerentanan Relatif Rendah
110,Jawa Tengah,2023,KABUPATEN KLATEN,Orang,4,5,0,0,0,4,0,Kerentanan Relatif Rendah
111,Jawa Tengah,2023,KABUPATEN SUKOHARJO,Orang,19,3,4,0,0,3,0,Kerentanan Relatif Rendah
112,Jawa Tengah,2023,KABUPATEN WONOGIRI,Orang,0,2,0,0,0,0,0,Kerentanan Relatif Rendah
113,Jawa Tengah,2023,KABUPATEN KARANGANYAR,Orang,9,7,5,0,0,3,0,Kerentanan Relatif Rendah
114,Jawa Tengah,2023,KABUPATEN SRAGEN,Orang,15,3,3,0,0,1,0,Kerentanan Relatif Rendah
115,Jawa Tengah,2023,KABUPATEN GROBOGAN,Orang,8,4,4,3,0,0,0,Kerentanan Relatif Rendah
116,Jawa Tengah,2023,KABUPATEN BLORA,Orang,2,0,2,0,0,1,0,Kerentanan Relatif Rendah
117,Jawa Tengah,2023,KABUPATEN REMBANG,Orang,1,2,1,0,0,0,0,Kerentanan Relatif Rendah
118,Jawa Tengah,2023,KABUPATEN PATI,Orang,13,2,2,0,0,2,0,Kerentanan Relatif Rendah
119,Jawa Tengah,2023,KABUPATEN KUDUS,Orang,2,0,1,0,0,0,0,Kerentanan Relatif Rendah
